left,rating,contacts,time2delivery,productid,service,region,gender,age,weekday
0,8,0,72.6,88,UPS,3,male,75.7,Wednesday
0,8,0,91.9,87,Hermes,2,female,58.0,Saturday
0,8,1,68.5,69,Hermes,3,female,50.6,Saturday
0,8,1,68.7,85,Hermes,3,female,55.4,Saturday
0,8,0,66.5,67,UPS,1,male,52.6,Sunday
0,8,1,55.7,83,DHL,3,female,64.0,Monday
0,6,1,86.6,79,DHL,3,male,76.5,Saturday
0,7,1,57.7,83,DHL,2,female,49.6,Sunday
0,8,1,81.4,73,Hermes,3,female,66.7,Sunday
0,8,0,61.9,70,UPS,2,female,61.0,Monday
0,8,2,78.4,75,Hermes,3,female,69.6,Sunday
0,8,0,65.8,86,DHL,2,male,68.3,Wednesday
0,8,1,77.4,77,DHL,1,female,66.6,Monday
0,9,3,80.3,55,Hermes,2,female,66.5,Friday
0,6,0,86.3,79,DHL,3,female,46.4,Monday
0,7,1,69.7,86,UPS,2,female,77.9,Wednesday
0,6,3,51.3,75,UPS,1,male,53.0,Tuesday
0,8,0,63.9,58,DHL,3,female,64.3,Friday
0,8,1,44.0,69,Hermes,1,female,53.2,Friday
0,9,1,70.3,49,Hermes,2,male,56.6,Wednesday
0,6,1,71.3,52,UPS,3,female,47.4,Tuesday
0,6,0,58.1,80,UPS,2,female,50.7,Sunday
0,7,0,56.4,86,DHL,1,male,46.2,Sunday
0,7,1,69.9,91,UPS,1,male,69.6,Saturday
0,8,0,65.8,83,Hermes,1,female,66.0,Wednesday
0,6,1,66.4,85,UPS,1,female,52.6,Saturday
0,7,0,89.2,90,UPS,2,male,63.4,Thursday
0,9,0,81.4,60,UPS,3,female,85.5,Monday
0,6,1,52.6,76,DHL,1,female,49.5,Saturday
0,7,1,52.1,73,DHL,3,male,64.5,Saturday
0,6,0,52.7,53,Hermes,1,female,50.8,Saturday
0,6,0,59.0,70,Hermes,1,female,31.8,Sunday
0,8,3,78.3,71,Hermes,2,female,41.8,Sunday
0,9,1,59.9,85,Hermes,1,male,63.8,Friday
0,8,1,83.7,74,DHL,2,female,46.5,Tuesday
0,9,1,59.3,84,UPS,1,female,42.9,Wednesday
0,8,3,80.9,82,UPS,1,female,32.4,Wednesday
0,8,1,55.5,80,Hermes,1,female,44.9,Tuesday
0,7,0,63.6,72,Hermes,3,female,48.9,Saturday
0,9,2,45.0,79,DHL,2,male,54.0,Sunday
0,8,2,59.0,48,DHL,2,male,44.4,Tuesday
0,5,0,79.6,86,Hermes,3,male,54.9,Wednesday
0,8,1,64.9,82,Hermes,3,female,55.4,Thursday
0,7,0,59.2,87,DHL,3,female,74.9,Friday
0,7,4,47.6,90,Hermes,2,female,61.8,Sunday
0,8,1,53.5,87,Hermes,1,male,74.6,Wednesday
0,9,2,82.4,89,Hermes,1,male,54.5,Sunday
0,7,0,61.4,81,UPS,3,male,55.2,Wednesday
0,6,0,60.4,27,UPS,2,female,42.5,Monday
0,6,1,59.9,90,Hermes,1,male,38.1,Thursday
0,6,0,78.0,60,Hermes,3,male,38.8,Thursday
0,6,1,58.3,86,Hermes,3,male,72.9,Saturday
0,4,1,85.6,64,Hermes,3,female,53.4,Friday
0,8,1,63.6,81,UPS,3,female,66.5,Friday
