orders,productid,discounts,views_per_hour_prev_day,online_adv_prev_day,rain,temperature,day
11,1,0.12,953,1,0,3.16,2017-01-01
10,2,0.13,909,3,0,3.16,2017-01-01
13,3,0.23,462,10,0,3.16,2017-01-01
11,4,0.14,408,10,0,3.16,2017-01-01
19,5,0.23,370,5,0,3.16,2017-01-01
7,6,0.19,920,9,0,3.16,2017-01-01
18,7,0.17,784,6,0,3.16,2017-01-01
24,8,0.06,58,2,0,3.16,2017-01-01
13,9,0.18,958,8,0,3.16,2017-01-01
17,10,0.17,442,2,0,3.16,2017-01-01
20,11,0.12,852,2,0,3.16,2017-01-01
3,12,0.12,651,10,0,3.16,2017-01-01
17,13,0.19,964,7,0,3.16,2017-01-01
13,14,0.12,185,2,0,3.16,2017-01-01
9,15,0.15,154,1,0,3.16,2017-01-01
20,16,0.13,804,9,0,3.16,2017-01-01
19,17,0.11,345,5,0,3.16,2017-01-01
12,18,0.15,129,9,0,3.16,2017-01-01
8,19,0.13,572,8,0,3.16,2017-01-01
6,20,0.12,272,10,0,3.16,2017-01-01
13,21,0.15,709,10,0,3.16,2017-01-01
21,22,0.14,530,6,0,3.16,2017-01-01
20,23,0.19,89,2,0,3.16,2017-01-01
23,24,0.12,369,8,0,3.16,2017-01-01
13,25,0.14,405,4,0,3.16,2017-01-01
19,26,0.11,146,6,0,3.16,2017-01-01
14,27,0.11,823,2,0,3.16,2017-01-01
16,28,0.14,219,6,0,3.16,2017-01-01
7,29,0.16,716,6,0,3.16,2017-01-01
16,30,0.16,628,8,0,3.16,2017-01-01
16,31,0.14,873,1,0,3.16,2017-01-01
22,32,0.12,313,3,0,3.16,2017-01-01
18,33,0.21,818,10,0,3.16,2017-01-01
17,34,0.22,183,2,0,3.16,2017-01-01
16,35,0.12,756,3,0,3.16,2017-01-01
5,36,0.18,635,3,0,3.16,2017-01-01
23,37,0.2,365,5,0,3.16,2017-01-01
20,38,0.12,353,7,0,3.16,2017-01-01
18,39,0.15,510,4,0,3.16,2017-01-01
8,40,0.24,244,8,0,3.16,2017-01-01
4,41,0.16,885,5,0,3.16,2017-01-01
17,42,0.21,387,7,0,3.16,2017-01-01
5,43,0.2,192,6,0,3.16,2017-01-01
8,44,0.09,505,2,0,3.16,2017-01-01
24,45,0.18,862,4,0,3.16,2017-01-01
13,46,0.15,975,8,0,3.16,2017-01-01
23,47,0.15,529,6,0,3.16,2017-01-01
14,48,0.18,502,7,0,3.16,2017-01-01
20,49,0.15,263,2,0,3.16,2017-01-01
16,50,0.19,617,4,0,3.16,2017-01-01
15,51,0.13,637,5,0,3.16,2017-01-01
16,52,0.19,80,5,0,3.16,2017-01-01
19,53,0.18,152,9,0,3.16,2017-01-01
14,54,0.15,336,9,0,3.16,2017-01-01
21,55,0.12,888,6,0,3.16,2017-01-01
15,56,0.17,832,8,0,3.16,2017-01-01
5,57,0.13,569,3,0,3.16,2017-01-01
23,58,0.17,225,1,0,3.16,2017-01-01
14,59,0.14,816,2,0,3.16,2017-01-01
3,60,0.14,788,2,0,3.16,2017-01-01
11,61,0.17,84,3,0,3.16,2017-01-01
16,62,0.16,252,6,0,3.16,2017-01-01
23,63,0.11,474,2,0,3.16,2017-01-01
12,64,0.13,501,6,0,3.16,2017-01-01
14,65,0.22,473,10,0,3.16,2017-01-01
9,66,0.17,809,1,0,3.16,2017-01-01
5,67,0.18,243,6,0,3.16,2017-01-01
7,68,0.2,204,7,0,3.16,2017-01-01
12,69,0.16,761,9,0,3.16,2017-01-01
3,70,0.08,979,3,0,3.16,2017-01-01
4,71,0.1,1052,5,0,3.16,2017-01-01
11,72,0.16,71,2,0,3.16,2017-01-01
13,73,0.15,273,10,0,3.16,2017-01-01
15,74,0.2,549,4,0,3.16,2017-01-01
5,75,0.17,446,8,0,3.16,2017-01-01
15,76,0.15,118,5,0,3.16,2017-01-01
7,77,0.19,970,4,0,3.16,2017-01-01
18,78,0.17,913,3,0,3.16,2017-01-01
12,79,0.11,647,7,0,3.16,2017-01-01
4,80,0.17,123,1,0,3.16,2017-01-01
10,81,0.16,170,3,0,3.16,2017-01-01
4,82,0.16,318,8,0,3.16,2017-01-01
21,83,0.14,123,7,0,3.16,2017-01-01
21,84,0.17,264,9,0,3.16,2017-01-01
23,85,0.19,449,6,0,3.16,2017-01-01
12,86,0.18,215,2,0,3.16,2017-01-01
11,87,0.21,476,2,0,3.16,2017-01-01
7,88,0.16,444,6,0,3.16,2017-01-01
8,89,0.16,301,4,0,3.16,2017-01-01
15,90,0.12,565,1,0,3.16,2017-01-01
14,91,0.14,229,6,0,3.16,2017-01-01
17,92,0.17,683,6,0,3.16,2017-01-01
12,93,0.17,544,9,0,3.16,2017-01-01
19,94,0.16,343,9,0,3.16,2017-01-01
11,95,0.13,410,10,0,3.16,2017-01-01
10,96,0.11,479,2,0,3.16,2017-01-01
11,97,0.18,965,9,0,3.16,2017-01-01
22,98,0.19,324,6,0,3.16,2017-01-01
22,99,0.23,688,2,0,3.16,2017-01-01
11,100,0.17,546,7,0,3.16,2017-01-01
7,1,0.19,987,1,0,7.81,2017-01-02
13,2,0.21,871,9,0,7.81,2017-01-02
14,3,0.2,468,4,0,7.81,2017-01-02
9,4,0.19,449,7,0,7.81,2017-01-02
16,5,0.14,381,8,0,7.81,2017-01-02
12,6,0.15,921,6,0,7.81,2017-01-02
21,7,0.2,741,2,0,7.81,2017-01-02
16,8,0.15,50,3,0,7.81,2017-01-02
10,9,0.25,962,1,0,7.81,2017-01-02
17,10,0.21,441,4,0,7.81,2017-01-02
17,11,0.15,882,9,0,7.81,2017-01-02
9,12,0.18,635,8,0,7.81,2017-01-02
19,13,0.16,999,10,0,7.81,2017-01-02
18,14,0.14,168,3,0,7.81,2017-01-02
4,15,0.21,132,3,0,7.81,2017-01-02
12,16,0.19,768,9,0,7.81,2017-01-02
11,17,0.17,328,4,0,7.81,2017-01-02
13,18,0.12,126,5,0,7.81,2017-01-02
12,19,0.16,631,9,0,7.81,2017-01-02
9,20,0.14,295,5,0,7.81,2017-01-02
5,21,0.21,742,9,0,7.81,2017-01-02
18,22,0.11,498,10,0,7.81,2017-01-02
19,23,0.15,91,3,0,7.81,2017-01-02
20,24,0.21,326,6,0,7.81,2017-01-02
9,25,0.16,419,9,0,7.81,2017-01-02
13,26,0.14,136,2,0,7.81,2017-01-02
23,27,0.2,777,4,0,7.81,2017-01-02
16,28,0.14,233,2,0,7.81,2017-01-02
0,29,0.12,646,7,0,7.81,2017-01-02
11,30,0.09,682,7,0,7.81,2017-01-02
17,31,0.14,849,8,0,7.81,2017-01-02
20,32,0.16,306,9,0,7.81,2017-01-02
17,33,0.2,838,2,0,7.81,2017-01-02
8,34,0.14,176,6,0,7.81,2017-01-02
13,35,0.11,732,7,0,7.81,2017-01-02
